Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;start;0,0
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;right;3,24300003052
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;3,49300003052
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;right;3,54300022125
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;8,57000017166
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;right;10,4580001831
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;17,7880001068
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;up;17,8540000916
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;19,4900000095
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;up;19,6740000248
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;24,5190000534
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;right;25,3020000458
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;26,606000185
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;up;26,8230001926
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;33,7020001411
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;right;34,9200000763
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;35,873000145
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;up;36,3580000401
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;37,8270001411
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;right;37,9440000057
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;43,5220000744
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;right;43,6710000038
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;43,8900001049
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;right;44,4409999847
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;47,6630001068
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;up;47,6970000267
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;48,5480000973
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;right;48,6820001602
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;unclear;50,6010000706
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;up;50,6510000229
SFH1994WR;2017-11-06-12-56-53;1;sphere-0500;0,15;left;1;stop;60,003000021
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;start;0,0
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;down;9,0039999485
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;24,8519999981
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;up;25,3519999981
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;25,885999918
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;down;27,0230000019
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;27,2060000896
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;right;29,8930001259
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;30,7120001316
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;right;32,0310001373
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;34,5360000134
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;down;35,2200000286
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;38,3440001011
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;right;38,5940001011
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;40,0810000896
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;down;40,2139999866
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;42,5850000381
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;down;43,1690001488
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;45,0910000801
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;right;45,1400001049
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;46,2920000553
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;down;46,3250000477
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;right;50,9850001335
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;52,9549999237
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;down;52,9879999161
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;54,4079999924
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;right;54,4409999847
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;unclear;57,7650001049
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;down;58,0989999771
SFH1994WR;2017-11-06-12-56-53;2;sphere-0500;0,15;right;1;stop;60,003000021
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;start;0,0
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;5,06300020218
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;6,76700019836
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;7,66799998283
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;9,13700008392
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;9,80599999428
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;12,111000061
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;12,6950001717
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;13,8310000896
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;18,373000145
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;20,0920000076
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;21,9120001793
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;22,9300000668
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;24,8680000305
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;24,8849999905
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;26,6890001297
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;27,2740001678
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;27,2890000343
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;28,0410001278
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;30,1960000992
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;30,4790000916
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;32,2490000725
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;32,2829999924
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;32,9830000401
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;33,7180001736
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;33,7350001335
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;34,4210000038
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;34,4370000362
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;35,2210001945
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;35,2380001545
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;36,0900001526
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;36,742000103
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;36,7750000954
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;37,5920000076
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;38,0110001564
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;38,0440001488
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;38,5110001564
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;38,5280001163
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;39,0299999714
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;39,0630002022
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;39,5140001774
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;39,5470001698
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;42,5020000935
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;42,5860002041
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;42,603000164
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;42,6360001564
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;44,3220000267
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;44,3570001125
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;unclear;52,2050001621
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;up;52,2720000744
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;right;53,8240001202
SFH1994WR;2017-11-06-12-56-53;3;sphere-0500;-0,15;left;1;stop;60,003000021
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;start;0,0
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;right;6,78299999237
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;unclear;20,6089999676
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;left;20,7430000305
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;unclear;22,0780000687
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;right;22,1449999809
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;left;23,3150000572
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;right;23,9830000401
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;left;25,117000103
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;right;28,7760000229
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;unclear;30,0280001163
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;left;30,0450000763
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;right;30,9130001068
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;unclear;39,3789999485
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;left;39,3949999809
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;unclear;40,3310000896
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;right;40,364000082
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;left;41,0150001049
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;right;42,4509999752
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;unclear;43,3040001392
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;left;43,3210000992
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;right;45,2239999771
SFH1994WR;2017-11-06-12-56-53;4;sphere-0500;-0,15;neither;-1;stop;60,0020000935
SFH1994WR;2017-11-06-12-56-53;5;cross-0500;0,15;left;1;start;0,0
SFH1994WR;2017-11-06-12-56-53;5;cross-0500;0,15;left;1;right;5,24499988556
SFH1994WR;2017-11-06-12-56-53;5;cross-0500;0,15;left;1;stop;60,003000021
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;start;0,0
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;up;4,59500002861
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;left;15,0329999924
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;up;15,9679999352
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;left;20,7939999104
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;up;22,1949999332
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;left;24,4670000076
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;up;29,2100000381
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;left;31,1789999008
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;up;34,753000021
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;left;36,6579999924
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;up;38,0929999352
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;left;44,3880000114
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;up;46,8429999352
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;left;51,0690000057
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;up;52,4219999313
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;unclear;53,6900000572
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;left;56,0959999561
SFH1994WR;2017-11-06-12-56-53;6;sphere-0500;0,0;right;-1;stop;60,003000021
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;start;0,0
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;left;1,47299981117
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;unclear;16,4509999752
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;down;16,5339999199
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;left;29,628000021
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;down;32,1150000095
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;right;34,4529998302
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;unclear;34,9709999561
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;left;35,4049999714
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;down;37,4259998798
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;unclear;38,9289999008
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;down;39,4140000343
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;left;43,771999836
SFH1994WR;2017-11-06-12-56-53;7;sphere-0500;0,0;neither;1;down;47,4629998207
